Date,Review,Score
"Nov 16, 2022","Although on a story level it doesn't completely come together on a few occasions, with for the time great special effects and a lead character you root for, it's able to successfully tell a fun, fantasy adventure story making it a fun watch.",NEUTRAL
"Nov 1, 2022", An under-rated magical fantasy just because critics expected more from George Lucas and Ron Howard. I have no idea how much better you could expect. The movie is a magical treat.,NEUTRAL
"Oct 20, 2022",I love it great film i enjoy it,NEUTRAL
"Sep 4, 2013","I first watched this movie in the theater with my best friend when I was 11 years old. I've watched this movie over and over and never get sick of it. There are some very funny moments between the characters that made me burst out laughing. I see it more as a comedy in a fantasy world. I'm not analytical about this particular movie, I just know that I had fun watching it, and that's what counts. People liked Conan The Barbarian, which I could see that world spilling over into this fantasy world. It is a family movie, so, there's really no problem letting your kids see it if they like sci-fi fantasies.",NEUTRAL
"Sep 4, 2013","I had some fun watching it, but the whole thing was too bleak and surprisingly dull despite all the fantastic creatures and all the magic.",NEUTRAL
"Sep 3, 2013","It's pretty dumb and silly, but it's a fun and interesting story.",NEUTRAL
"Sep 1, 2013",Major skills mad mardigan n first time little person kicked ass well before the hobbits.,NEUTRAL
"Aug 30, 2013","Despite riveting special effects and a fun Val Kilmer performance, Willow ultimately loses itself in a mess of poor plotting, lame dialogue, and a lot of tonal inconsistency.",NEUTRAL
"Aug 29, 2013","one of the very best fantasy film, need a sequel !",NEUTRAL
"Aug 2, 2013",I love this movie.  I grew up with it and it's great.  I don't know what everyone else is thinking with their 50%.,NEUTRAL
"Jul 20, 2013",The special effects for the time were really well done. One of my favorite fantasy movies of all time. a must see for any medieval fantasy fan,NEUTRAL
"Jul 5, 2013","The film is good. I love the story, but it's not very realistic. The actors are well chosen. :)",NEUTRAL
"Jun 30, 2013","Not much sword or sorcery here. The concept of ""hobbits"" has been done to death, no matter what you call them. If you like midgets, then see ""Time Bandits"" -- a much better film in every way.",NEUTRAL
