Date,Score,Reviews
"Jan 13, 2023",POSITIVE,"A personificação cinematográfica de crise de ansiedade e ""dedo no cu e gritaria"".
Foi tensão do início ao fim e, cara, como isso é tão bem construído pelos Irmãos Safdie. Toda a atmosfera exala insegurança, medo e angústia.
Atuação impecável do grande ator Adam Sandler e direção incorrigível dos Safdie.
Merecia ter dito mais atenção do Oscar."
"Jan 4, 2023",NEUTRAL,This movie was overrated….I don’t get why people praise Adam Sandler so much for it
"Jan 1, 2023",POSITIVE,"This is a masterclass in tension. The only film I have seen recently, which hold the same level of intensity is No Country for Old Men. Absolutely phenomenal."
"Dec 27, 2022",POSITIVE,"I never took Sandler as a serious actor. Yeah, he has done tragic characters before, but he was still the comedian that I knew. However he finally proved me wrong with his performance in this film. Had me at the edge the entire time."
"Dec 24, 2022",POSITIVE,"The audience score is a joke. 
Y'all sleeping on Adam Sandler's best performance in his entire career with a heavy hitting script that keeps you on the edge of anxiety. The atmosphere perfectly recreates what it's like to be in crowded spaces like New York. It's a thrill ride!"
"Dec 23, 2022",POSITIVE,"Adam Sandler can make you desperate and irritating, but in this movie he not only succeeds but does it in a good way. With the unique direction of the Safdie brothers, who give us a film full of emotions."
"Dec 18, 2022",POSITIVE,On the edge of my seat the whole time.
"Dec 13, 2022",NEGATIVE,"Can that man stop screaming, like...."
"Dec 12, 2022",NEGATIVE,Great acting performances bud that’s about it. The script was scattered and it dragged I fell asleep
"Dec 11, 2022",NEUTRAL,"Anxiety in this film is so high, good or bad, watchable. People are yelling throughout of the running time. I personally like the use of score, really effective. My first film starring Adam Sandler, it worked in here."
"Nov 16, 2022",POSITIVE,O ápice da atuação do Adam Sandler pode ser contemplado nesse filme
"Nov 11, 2022",POSITIVE,"Bro, what a headache."
"Nov 1, 2022",POSITIVE,"very chaotic movie. alot of shouting and talking over each other.
We see howard is an asshole to everyone in the movie and also tryna screw people.
he was deffiniately dislikeable characer. Adams acting was subperb.
Howard deffinately had the money to pay back this brother in law but he chose not. 
he had an house and apartment and many items. when he does sell the gem even then he choose not give the money.
He has a gambling issue shown thorughtout the film and he chasin the big win.
he always loses the bet but ironically he does get the big win he was chasing for but at the cost of this life. the ending of the show i was shocked they would end it like that."
